--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'WMIRegistrationService.exe', 'pid': 4476, 'username': None, 'vms': 2.49609375}
{'name': 'svchost.exe', 'pid': 4500, 'username': None, 'vms': 2.98828125}
{'name': 'svchost.exe', 'pid': 4520, 'username': None, 'vms': 1.22265625}
{'name': 'svchost.exe', 'pid': 4628, 'username': None, 'vms': 2.3515625}
{'name': 'MoUsoCoreWorker.exe', 'pid': 4644, 'username': None, 'vms': 12.63671875}
{'name': 'LMS.exe', 'pid': 4688, 'username': None, 'vms': 2.953125}
{'name': 'svchost.exe', 'pid': 4752, 'username': None, 'vms': 3.46484375}
{'name': 'svchost.exe', 'pid': 4780, 'username': None, 'vms': 2.8515625}
{'name': 'jhi_service.exe', 'pid': 4996, 'username': None, 'vms': 1.2734375}
{'name': 'GoogleCrashHandler.exe', 'pid': 5204, 'username': None, 'vms': 1.5625}
{'name': 'Code.exe', 'pid': 5260, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 26.23046875}
{'name': 'RAVBg64.exe', 'pid': 5276, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 4.140625}
{'name': 'svchost.exe', 'pid': 5516, 'username': None, 'vms': 1.515625}
{'name': 'svchost.exe', 'pid': 5604, 'username': None, 'vms': 2.890625}
{'name': 'explorer.exe', 'pid': 5924, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 88.921875}
{'name': 'dllhost.exe', 'pid': 6012, 'username': None, 'vms': 3.61328125}
{'name': 'chrome.exe', 'pid': 6152, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 45.12890625}
{'name': 'chrome.exe', 'pid': 6216, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 26.6484375}
{'name': 'svchost.exe', 'pid': 6224, 'username': None, 'vms': 5.9609375}
{'name': 'svchost.exe', 'pid': 6280, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 5.30078125}
{'name': 'taskhostw.exe', 'pid': 6292, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 7.55078125}
{'name': 'svchost.exe', 'pid': 6324, 'username': None, 'vms': 6.01171875}
{'name': 'chrome.exe', 'pid': 6360, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 127.7421875}
{'name': 'svchost.exe', 'pid': 6404, 'username': None, 'vms': 2.37109375}
{'name': 'svchost.exe', 'pid': 6420, 'username': None, 'vms': 4.54296875}
{'name': 'chrome.exe', 'pid': 6428, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 33.68359375}
{'name': 'svchost.exe', 'pid': 6472, 'username': None, 'vms': 1.9921875}
{'name': 'RtkNGUI64.exe', 'pid': 6496, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 4.4375}
{'name': 'chrome.exe', 'pid': 6604, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 30.140625}
{'name': 'dptf_helper.exe', 'pid': 6624, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.30859375}
{'name': 'Zoom.exe', 'pid': 6628, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 391.55859375}
{'name': 'svchost.exe', 'pid': 6744, 'username': None, 'vms': 2.4609375}
{'name': 'SystemSettings.exe', 'pid': 6804, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 26.44921875}
{'name': 'StartMenuExperienceHost.exe', 'pid': 6916, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 27.8203125}
{'name': 'GoogleCrashHandler64.exe', 'pid': 7092, 'username': None, 'vms': 1.5703125}
{'name': 'RAVBg64.exe', 'pid': 7416, 'username': None, 'vms': 5.7578125}
{'name': 'chrome.exe', 'pid': 7492, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 13.25390625}
{'name': 'NisSrv.exe', 'pid': 7568, 'username': None, 'vms': 4.18359375}
{'name': 'svchost.exe', 'pid': 7616, 'username': None, 'vms': 6.7109375}
{'name': 'UserOOBEBroker.exe', 'pid': 7624, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.9921875}
{'name': 'SearchIndexer.exe', 'pid': 7628, 'username': None, 'vms': 33.82421875}
