--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4644, 'username': None, 'name': 'MoUsoCoreWorker.exe', 'vms': 12.63671875}
{'pid': 4688, 'username': None, 'name': 'LMS.exe', 'vms': 2.953125}
{'pid': 4752, 'username': None, 'name': 'svchost.exe', 'vms': 3.46484375}
{'pid': 4780, 'username': None, 'name': 'svchost.exe', 'vms': 2.8515625}
{'pid': 4996, 'username': None, 'name': 'jhi_service.exe', 'vms': 1.2734375}
{'pid': 5204, 'username': None, 'name': 'GoogleCrashHandler.exe', 'vms': 1.5625}
{'pid': 5260, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'Code.exe', 'vms': 26.65625}
{'pid': 5276, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'RAVBg64.exe', 'vms': 4.140625}
{'pid': 5424, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'LocationNotificationWindows.exe', 'vms': 1.47265625}
{'pid': 5516, 'username': None, 'name': 'svchost.exe', 'vms': 1.515625}
{'pid': 5604, 'username': None, 'name': 'svchost.exe', 'vms': 3.046875}
{'pid': 5892, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'python.exe', 'vms': 15.3515625}
{'pid': 5924, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'explorer.exe', 'vms': 110.76171875}
{'pid': 6012, 'username': None, 'name': 'dllhost.exe', 'vms': 3.61328125}
{'pid': 6216, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'chrome.exe', 'vms': 27.36328125}
{'pid': 6224, 'username': None, 'name': 'svchost.exe', 'vms': 5.8828125}
{'pid': 6280, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'svchost.exe', 'vms': 5.30078125}
{'pid': 6292, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'taskhostw.exe', 'vms': 7.6015625}
{'pid': 6324, 'username': None, 'name': 'svchost.exe', 'vms': 6.01171875}
{'pid': 6360, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'chrome.exe', 'vms': 102.32421875}
{'pid': 6404, 'username': None, 'name': 'svchost.exe', 'vms': 2.37109375}
{'pid': 6420, 'username': None, 'name': 'svchost.exe', 'vms': 4.5390625}
{'pid': 6472, 'username': None, 'name': 'svchost.exe', 'vms': 2.0390625}
{'pid': 6496, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'RtkNGUI64.exe', 'vms': 4.4375}
{'pid': 6620, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'backgroundTaskHost.exe', 'vms': 14.28515625}
{'pid': 6624, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'dptf_helper.exe', 'vms': 1.30859375}
{'pid': 6628, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'Zoom.exe', 'vms': 388.92578125}
{'pid': 6744, 'username': None, 'name': 'svchost.exe', 'vms': 2.37890625}
{'pid': 6788, 'username': None, 'name': 'svchost.exe', 'vms': 2.88671875}
{'pid': 6804, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'SystemSettings.exe', 'vms': 26.44921875}
{'pid': 6916, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'StartMenuExperienceHost.exe', 'vms': 27.78125}
{'pid': 7092, 'username': None, 'name': 'GoogleCrashHandler64.exe', 'vms': 1.5703125}
{'pid': 7400, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'RuntimeBroker.exe', 'vms': 1.78515625}
{'pid': 7416, 'username': None, 'name': 'RAVBg64.exe', 'vms': 5.7578125}
{'pid': 7492, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'chrome.exe', 'vms': 13.25390625}
{'pid': 7568, 'username': None, 'name': 'NisSrv.exe', 'vms': 4.18359375}
{'pid': 7616, 'username': None, 'name': 'svchost.exe', 'vms': 7.421875}
{'pid': 7624, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'UserOOBEBroker.exe', 'vms': 2.0546875}
{'pid': 7628, 'username': None, 'name': 'SearchIndexer.exe', 'vms': 34.14453125}
{'pid': 7696, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'CodeSetup-stable-e7e037083ff4455cf320e344325dacb480062c3c.tmp', 'vms': 21.953125}
{'pid': 7736, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'Zoom.exe', 'vms': 88.0234375}
{'pid': 7924, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'SecurityHealthSystray.exe', 'vms': 1.65234375}
{'pid': 7932, 'username': None, 'name': 'OfficeClickToRun.exe', 'vms': 50.44921875}
{'pid': 8028, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'backgroundTaskHost.exe', 'vms': 2.83203125}
{'pid': 8276, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'msedge.exe', 'vms': 52.44140625}
{'pid': 8384, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'RuntimeBroker.exe', 'vms': 8.81640625}
{'pid': 8432, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'ctfmon.exe', 'vms': 4.3984375}
{'pid': 8480, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'msedge.exe', 'vms': 24.17578125}
{'pid': 8532, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'RuntimeBroker.exe', 'vms': 4.56640625}
{'pid': 8596, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'Code.exe', 'vms': 12.15234375}
