--------------------------------------------------------------------------------
My File Process Logger : Mon Oct  2 00:30:34 2023
--------------------------------------------------------------------------------

{'name': 'chrome.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 5476, 'vms': 30.65234375}
{'name': 'svchost.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 5492, 'vms': 5.52734375}
{'name': 'svchost.exe', 'username': None, 'pid': 5516, 'vms': 1.50390625}
{'name': 'svchost.exe', 'username': None, 'pid': 5604, 'vms': 2.80859375}
{'name': 'chrome.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 5620, 'vms': 14.7578125}
{'name': 'FileCoAuth.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 5744, 'vms': 4.5703125}
{'name': 'dllhost.exe', 'username': None, 'pid': 6012, 'vms': 3.0390625}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 6104, 'vms': 32.8828125}
{'name': 'svchost.exe', 'username': None, 'pid': 6224, 'vms': 4.04296875}
{'name': 'svchost.exe', 'username': None, 'pid': 6324, 'vms': 5.9765625}
{'name': 'SearchApp.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 6336, 'vms': 553.81640625}
{'name': 'svchost.exe', 'username': None, 'pid': 6404, 'vms': 2.17578125}
{'name': 'Code.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 6416, 'vms': 57.9375}
{'name': 'svchost.exe', 'username': None, 'pid': 6420, 'vms': 4.62109375}
{'name': 'svchost.exe', 'username': None, 'pid': 6472, 'vms': 1.87109375}
{'name': 'Code.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 6676, 'vms': 32.42578125}
{'name': 'svchost.exe', 'username': None, 'pid': 6744, 'vms': 2.33984375}
{'name': 'GoogleCrashHandler64.exe', 'username': None, 'pid': 7092, 'vms': 1.5703125}
{'name': 'SynTPHelper.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 7100, 'vms': 1.0390625}
