--------------------------------------------------------------------------------
My File Process Logger : Mon Oct  2 00:11:41 2023
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 3968, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'sihost.exe', 'vms': 12.7734375}
{'pid': 4036, 'username': None, 'name': 'svchost.exe', 'vms': 9.23046875}
{'pid': 4108, 'username': None, 'name': 'svchost.exe', 'vms': 1.50390625}
{'pid': 4160, 'username': None, 'name': 'svchost.exe', 'vms': 1.2734375}
{'pid': 4208, 'username': None, 'name': 'svchost.exe', 'vms': 1.36328125}
{'pid': 4220, 'username': None, 'name': 'QcomWlanSrvx64.exe', 'vms': 1.28515625}
{'pid': 4228, 'username': None, 'name': 'svchost.exe', 'vms': 4.6796875}
{'pid': 4236, 'username': None, 'name': 'esif_uf.exe', 'vms': 1.7578125}
{'pid': 4244, 'username': None, 'name': 'svchost.exe', 'vms': 3.640625}
{'pid': 4252, 'username': None, 'name': 'AdminService.exe', 'vms': 2.21875}
