--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'Code.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 11084, 'vms': 20.38671875}
{'name': 'SystemSettings.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 11240, 'vms': 27.84375}
{'name': 'CodeSetup-stable-863d2581ecda6849923a2118d93a088b0745d9d6.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 11632, 'vms': 7.0546875}
{'name': 'SearchProtocolHost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 11884, 'vms': 1.765625}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 11964, 'vms': 30.51171875}
{'name': 'dptf_helper.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 12132, 'vms': 1.28515625}
{'name': 'crashpad_handler.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 12236, 'vms': 1.44140625}
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 12244, 'vms': 47.94140625}
{'name': 'svchost.exe', 'username': None, 'pid': 12548, 'vms': 4.35546875}
{'name': 'SearchProtocolHost.exe', 'username': None, 'pid': 12692, 'vms': 2.4375}
{'name': 'Code.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 12772, 'vms': 56.11328125}
{'name': 'explorer.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 13332, 'vms': 89.80859375}
{'name': 'StartMenuExperienceHost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 13388, 'vms': 22.578125}
{'name': 'Code.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 13436, 'vms': 60.51171875}
{'name': 'svchost.exe', 'username': None, 'pid': 13676, 'vms': 6.34375}
{'name': 'svchost.exe', 'username': None, 'pid': 13704, 'vms': 1.8203125}
{'name': 'svchost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 13988, 'vms': 1.671875}
{'name': 'msedge.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 14024, 'vms': 58.20703125}
{'name': 'RAVBg64.exe', 'username': None, 'pid': 14184, 'vms': 5.8046875}
{'name': 'Code.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 14408, 'vms': 12.80078125}
{'name': 'nearby_share.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 14540, 'vms': 68.375}
{'name': 'RuntimeBroker.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 14664, 'vms': 2.9140625}
{'name': 'svchost.exe', 'username': None, 'pid': 15224, 'vms': 2.08203125}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 15252, 'vms': 2.81640625}
{'name': 'svchost.exe', 'username': None, 'pid': 15484, 'vms': 9.54296875}
{'name': 'MsMpEng.exe', 'username': None, 'pid': 15504, 'vms': 321.01171875}
{'name': 'svchost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 15716, 'vms': 3.44140625}
{'name': 'svchost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 15752, 'vms': 9.81640625}
{'name': 'Taskmgr.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 15880, 'vms': 31.04296875}
{'name': 'MicrosoftEdgeUpdate.exe', 'username': None, 'pid': 15900, 'vms': 1.88671875}
{'name': 'sihost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 15984, 'vms': 10.109375}
{'name': 'svchost.exe', 'username': None, 'pid': 16100, 'vms': 2.5625}
{'name': 'winlogon.exe', 'username': None, 'pid': 16372, 'vms': 2.5390625}
