--------------------------------------------------------------------------------
My File Process Logger : Mon Oct  2 10:45:16 2023
--------------------------------------------------------------------------------

{'name': 'explorer.exe', 'pid': 6344, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 112.046875}
{'name': 'svchost.exe', 'pid': 6404, 'username': None, 'vms': 2.1796875}
{'name': 'svchost.exe', 'pid': 6420, 'username': None, 'vms': 4.65234375}
{'name': 'svchost.exe', 'pid': 6472, 'username': None, 'vms': 2.01171875}
{'name': 'chrome.exe', 'pid': 6504, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 12.6796875}
{'name': 'chrome.exe', 'pid': 6552, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 33.109375}
{'name': 'chrome.exe', 'pid': 6640, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 6.64453125}
{'name': 'RAVBg64.exe', 'pid': 6656, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 4.12890625}
{'name': 'svchost.exe', 'pid': 6744, 'username': None, 'vms': 2.33984375}
{'name': 'SynTPEnh.exe', 'pid': 6780, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 6.484375}
{'name': 'msedge.exe', 'pid': 6832, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 6.52734375}
{'name': 'svchost.exe', 'pid': 6976, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.73828125}
{'name': 'GoogleCrashHandler64.exe', 'pid': 7092, 'username': None, 'vms': 1.5703125}
{'name': 'svchost.exe', 'pid': 7200, 'username': None, 'vms': 4.52734375}
{'name': 'CalculatorApp.exe', 'pid': 7220, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 27.76953125}
{'name': 'TextInputHost.exe', 'pid': 7592, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 14.92578125}
{'name': 'taskhostw.exe', 'pid': 7600, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.33984375}
{'name': 'svchost.exe', 'pid': 7616, 'username': None, 'vms': 5.72265625}
{'name': 'svchost.exe', 'pid': 7780, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 5.37109375}
{'name': 'RuntimeBroker.exe', 'pid': 7888, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 4.18359375}
{'name': 'chrome.exe', 'pid': 7916, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 21.265625}
{'name': 'dptf_helper.exe', 'pid': 7992, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.27734375}
{'name': 'nearby_share.exe', 'pid': 8140, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 68.97265625}
{'name': 'winlogon.exe', 'pid': 8236, 'username': None, 'vms': 2.46875}
{'name': 'crashpad_handler.exe', 'pid': 8356, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.2890625}
{'name': 'svchost.exe', 'pid': 8600, 'username': None, 'vms': 11.23046875}
{'name': 'chrome.exe', 'pid': 8832, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 14.79296875}
